"Date","Entries"
2012-11-17,137491
2012-11-18,112130
2012-11-19,107747
2012-11-20,112703
2012-11-21,117009
2012-11-22,123922
2012-11-23,124668
2012-11-24,149087
2012-11-25,120843
2012-11-26,107412
2012-11-27,114730
2012-11-28,124601
2012-11-29,157368
2012-11-30,126138
2012-12-01,143054
2012-12-02,118036
2012-12-03,112532
2012-12-04,121429
2012-12-05,123593
2012-12-06,123917
2012-12-07,96117
2012-12-08,111485
2012-12-09,100823
2012-12-10,109447
2012-12-11,120159
2012-12-12,125288
2012-12-13,133091
2012-12-14,106774
2012-12-15,140947
2012-12-16,134379
2012-12-17,124377
2012-12-18,136138
2012-12-19,142300
2012-12-20,150267
2012-12-21,142730
2012-12-22,143095
2012-12-23,116619
2012-12-24,111033
2012-12-25,74864
2012-12-26,72905
2012-12-27,101329
2012-12-28,100671
2012-12-29,88903
2012-12-30,73072
2012-12-31,76644
2013-01-01,66224
2013-01-02,78947
2013-01-03,87912
2013-01-04,94696
2013-01-05,110091
2013-01-06,101129
2013-01-07,89686
2013-01-08,98249
2013-01-09,100995
2013-01-10,109757
2013-01-11,114086
2013-01-12,142357
2013-01-13,111926
2013-01-14,103540
2013-01-15,109819
2013-01-16,111459
2013-01-17,112567
2013-01-18,112168
2013-01-19,121238
2013-01-20,88912
2013-01-21,104436
2013-01-22,110662
2013-01-23,114020
2013-01-24,118731
2013-01-25,117548
2013-01-26,134290
2013-01-27,109664
2013-01-28,102881
2013-01-29,102502
2013-01-30,103160
2013-01-31,104615
2013-02-01,97483
2013-02-02,86341
2013-02-03,67268
2013-02-04,100712
2013-02-05,104436
2013-02-06,112567
2013-02-07,120720
2013-02-08,117007
2013-02-09,129335
2013-02-10,107025
2013-02-11,86375
2013-02-12,94799
2013-02-13,107695
2013-02-14,113241
2013-02-15,105363
2013-02-16,116697
2013-02-17,102201
2013-02-18,100570
2013-02-19,111099
2013-02-20,116975
2013-02-21,126334
2013-02-22,123564
2013-02-23,141300
2013-02-24,110851
2013-02-25,104745
2013-02-26,99444
2013-02-27,102771
2013-02-28,108316
2013-03-01,103972
2013-03-02,112011
2013-03-03,96550
2013-03-04,97992
2013-03-05,102347
2013-03-06,110829
2013-03-07,114855
2013-03-08,112884
2013-03-09,124042
2013-03-10,100378
2013-03-11,103164
2013-03-12,113784
2013-03-13,115094
2013-03-14,119410
2013-03-15,117011
2013-03-16,135673
2013-03-17,79490
2013-03-18,103744
2013-03-19,102541
2013-03-20,110485
2013-03-21,113219
2013-03-22,148398
2013-03-23,126345
2013-03-24,88689
2013-03-25,96421
2013-03-26,102831
2013-03-27,106297
2013-03-28,104998
2013-03-29,81572
2013-03-30,79611
2013-03-31,63707
2013-04-01,72795
2013-04-02,81340
2013-04-03,94154
2013-04-04,111750
2013-04-05,117286
2013-04-06,133092
2013-04-07,64267
2013-04-08,113844
2013-04-09,118548
2013-04-10,120948
2013-04-11,127429
2013-04-12,128146
2013-04-13,140306
2013-04-14,114265
2013-04-15,96913
2013-04-16,102469
2013-04-17,105266
2013-04-18,112479
2013-04-19,100271
2013-04-20,113072
2013-04-21,88105
2013-04-22,99484
2013-04-23,108888
2013-04-24,105037
2013-04-25,74147
2013-04-26,69699
2013-04-27,94324
2013-04-28,83129
2013-04-29,90629
2013-04-30,100296
2013-05-01,96429
2013-05-02,95759
2013-05-03,99328
2013-05-04,117685
2013-05-05,99115
2013-05-06,101736
2013-05-07,104206
2013-05-08,106709
2013-05-09,116749
2013-05-10,122177
2013-05-11,133537
2013-05-12,69166
2013-05-13,95223
2013-05-14,102099
2013-05-15,109690
2013-05-16,122779
2013-05-17,113816
2013-05-18,130193
2013-05-19,105996
2013-05-20,100698
2013-05-21,102211
2013-05-22,102744
2013-05-23,106807
2013-05-24,116397
2013-05-25,130742
2013-05-26,104103
2013-05-27,99676
2013-05-28,109414
2013-05-29,114615
2013-05-30,118438
2013-05-31,110673
2013-06-01,120129
2013-06-02,97292
2013-06-03,110642
2013-06-04,107783
2013-06-05,111886
2013-06-06,114218
2013-06-07,109253
2013-06-08,116329
2013-06-09,68695
2013-06-10,100439
2013-06-11,104711
2013-06-12,107238
2013-06-13,104042
2013-06-14,119082
2013-06-15,91574
2013-06-16,66630
2013-06-17,85569
2013-06-18,93206
2013-06-19,95157
2013-06-20,100774
2013-06-21,95348
2013-06-22,95773
2013-06-23,83257
2013-06-24,97445
2013-06-25,101277
2013-06-26,101670
2013-06-27,107555
2013-06-28,99428
2013-06-29,104980
2013-06-30,79698
2013-07-01,84581
2013-07-02,89347
2013-07-03,94207
2013-07-04,98162
2013-07-05,89583
2013-07-06,92736
2013-07-07,77367
2013-07-08,91509
2013-07-09,97213
2013-07-10,106754
2013-07-11,107052
2013-07-12,98796
2013-07-13,93612
2013-07-14,75962
2013-07-15,88718
2013-07-16,98992
2013-07-17,102635
2013-07-18,101159
2013-07-19,86261
2013-07-20,82450
2013-07-21,68248
2013-07-22,80529
2013-07-23,92888
2013-07-24,97732
2013-07-25,100659
2013-07-26,90354
2013-07-27,83898
2013-07-28,66751
2013-07-29,85583
2013-07-30,84265
2013-07-31,85539
2013-08-01,85829
2013-08-02,77330
2013-08-03,72277
2013-08-04,47596
2013-08-05,60356
2013-08-06,60511
2013-08-07,59725
2013-08-08,61149
2013-08-09,53110
2013-08-10,52862
2013-08-11,41205
2013-08-12,49018
2013-08-13,47882
2013-08-14,48777
2013-08-15,37635
2013-08-16,40192
2013-08-17,41074
2013-08-18,37467
2013-08-19,49577
2013-08-20,49811
2013-08-21,51118
2013-08-22,52571
2013-08-23,56483
